time,yo,
10.565,739,
10.572,741,
10.579,732,
10.587,737,
10.594,741,
10.601,733,
10.608,736,
10.615,733,
10.622,731,
10.629,737,
10.637,731,
10.644,730,
10.651,736,
10.658,729,
10.665,724,
10.672,736,
10.679,746,
10.687,784,
10.694,820,
10.701,814,
10.708,777,
10.715,749,
10.722,712,
10.729,726,
10.737,724,
10.744,725,
10.751,726,
10.758,721,
10.765,724,
10.772,733,
10.779,724,
10.787,725,
10.794,731,
10.801,726,
10.808,729,
10.815,731,
10.822,725,
10.829,731,
10.837,730,
10.844,738,
10.851,735,
10.858,736,
10.865,739,
10.872,732,
10.879,733,
10.887,741,
10.894,735,
10.901,737,
10.908,742,
10.915,733,
10.922,741,
10.929,739,
10.937,738,
10.944,744,
10.951,737,
10.958,738,
10.965,743,
10.972,741,
10.979,734,
10.987,739,
10.994,730,
11.001,731,
11.008,729,
11.015,725,
11.022,730,
11.029,732,
11.037,725,
11.044,728,
11.051,732,
11.058,729,
11.065,734,
11.072,733,
11.079,730,
11.087,738,
11.094,732,
11.101,731,
11.108,736,
11.115,731,
11.122,736,
11.129,734,
11.137,727,
11.144,731,
11.151,734,
11.158,726,
11.165,737,
11.172,733,
11.179,733,
11.187,740,
11.194,733,
11.201,730,
11.208,744,
11.215,732,
11.222,735,
11.229,739,
11.237,729,
11.244,731,
11.251,734,
11.258,723,
11.265,731,
11.272,735,
11.279,728,
11.287,726,
11.294,739,
11.301,758,
11.308,798,
11.315,823,
11.322,805,
11.329,756,
11.337,718,
11.344,720,
11.351,719,
11.358,722,
11.365,727,
11.372,722,
11.379,729,
11.387,727,
11.394,723,
11.401,729,
11.408,729,
11.415,724,
11.422,740,
11.429,726,
11.437,729,
11.444,737,
11.451,725,
11.458,728,
11.465,738,
11.472,730,
11.479,735,
11.487,739,
11.494,736,
11.501,737,
11.508,737,
11.515,736,
11.522,742,
11.529,740,
11.537,743,
11.544,744,
11.551,740,
11.558,740,
11.565,749,
11.572,736,
11.579,741,
11.587,744,
11.594,727,
11.601,737,
11.608,734,
11.615,727,
11.622,734,
11.629,729,
11.637,726,
11.644,732,
11.651,732,
11.658,731,
11.665,737,
11.672,728,
11.679,733,
11.687,737,
11.694,725,
11.701,729,
11.708,732,
11.715,728,
11.723,729,
11.729,733,
11.737,729,
11.744,740,
11.751,734,
11.758,728,
11.765,739,
11.772,729,
11.779,732,
11.787,738,
11.794,734,
11.801,735,
11.808,737,
11.815,732,
11.822,735,
11.829,737,
11.837,735,
11.844,738,
11.851,732,
11.858,726,
11.865,728,
11.872,724,
11.879,735,
11.887,724,
11.894,725,
11.901,746,
11.908,777,
11.915,814,
11.922,822,
11.929,777,
11.937,747,
11.944,723,
11.951,714,
11.958,724,
11.965,723,
11.972,716,
11.979,726,
11.987,725,
11.994,724,
12.001,728,
12.008,723,
12.015,723,
12.022,735,
12.029,721,
12.037,730,
12.044,734,
12.051,727,
12.058,732,
12.065,733,
12.072,730,
12.079,736,
12.087,734,
12.094,729,
12.101,738,
12.108,738,
12.115,738,
12.122,740,
12.129,737,
12.137,740,
12.144,743,
12.151,734,
12.158,740,
12.165,745,
12.172,737,
12.179,742,
12.187,744,
12.194,735,
12.201,743,
12.208,736,
12.215,732,
12.222,734,
12.229,729,
12.237,731,
12.244,737,
12.251,726,
12.258,729,
12.265,732,
12.272,727,
12.279,733,
12.287,730,
12.294,728,
12.301,732,
12.308,729,
12.315,727,
12.322,736,
12.329,738,
12.337,732,
12.344,735,
12.351,731,
12.358,730,
12.365,735,
12.372,727,
12.379,729,
12.387,730,
12.394,738,
12.401,737,
12.408,728,
12.415,738,
12.422,737,
12.429,734,
12.437,738,
12.444,731,
12.451,730,
12.458,734,
12.465,731,
12.472,731,
12.479,735,
12.487,722,
12.494,727,
12.501,730,
12.508,739,
12.515,781,
12.522,819,
12.529,816,
12.537,782,
12.544,743,
12.551,720,
12.558,725,
12.565,721,
12.572,719,
12.579,728,
12.587,718,
12.594,724,
12.601,724,
12.608,721,
12.615,729,
12.622,727,
12.629,724,
12.637,731,
12.644,730,
12.651,726,
12.658,733,
12.665,733,
12.672,728,
12.679,735,
12.687,729,
12.694,728,
12.701,742,
12.708,735,
12.715,739,
12.722,740,
12.729,726,
12.737,745,
12.744,746,
12.751,736,
12.758,740,
12.765,741,
12.772,737,
12.779,747,
12.787,743,
12.794,741,
12.801,744,
12.808,735,
12.815,731,
12.822,736,
12.829,725,
12.837,728,
12.844,735,
12.851,725,
12.858,728,
12.865,730,
12.872,727,
12.88,732,
12.887,731,
12.894,731,
12.901,731,
12.908,727,
12.915,741,
12.922,733,
12.929,730,
12.937,732,
12.944,736,
12.951,734,
12.958,735,
12.965,729,
12.972,732,
12.979,735,
12.987,726,
12.994,733,
13.001,729,
13.008,736,
13.015,741,
13.022,738,
13.029,738,
13.037,744,
13.044,729,
13.051,729,
13.058,737,
13.065,740,
13.072,735,
13.079,733,
13.087,730,
13.094,733,
13.101,738,
13.108,726,
13.115,736,
13.122,718,
13.129,719,
13.137,740,
13.144,742,
13.151,773,
13.158,825,
13.165,826,
13.172,787,
13.179,750,
13.187,717,
13.194,728,
13.201,719,
13.208,711,
13.215,729,
13.222,726,
13.23,715,
13.237,723,
13.244,725,
13.251,721,
13.258,731,
13.265,726,
13.272,726,
13.279,741,
13.287,729,
13.294,734,
13.301,738,
13.308,734,
13.315,733,
13.322,748,
13.329,730,
13.337,751,
13.344,745,
13.351,733,
13.358,743,
13.365,745,
13.372,752,
13.379,747,
13.387,748,
13.394,749,
13.401,749,
13.408,759,
13.415,755,
13.422,746,
13.429,749,
13.437,747,
13.444,755,
13.451,741,
13.458,749,
13.465,731,
13.472,744,
13.479,741,
13.487,743,
13.494,737,
13.501,731,
13.508,736,
13.515,739,
13.522,745,
13.529,751,
13.537,736,
13.544,744,
13.551,760,
13.558,734,
13.565,747,
13.572,740,
13.579,724,
13.587,736,
13.594,723,
13.601,739,
13.608,745,
13.615,748,
13.622,697,
13.629,733,
13.637,707,
13.644,745,
13.651,713,
13.658,703,
13.665,724,
13.672,710,
13.679,708,
13.687,724,
13.694,705,
13.701,705,
13.708,725,
13.715,713,
13.722,717,
13.73,711,
13.737,715,
13.744,715,
13.751,724,
13.758,739,
13.765,727,
13.772,706,
13.779,736,
13.787,734,
13.794,707,
13.801,730,
13.808,759,
13.815,792,
13.822,784,
13.829,771,
13.837,721,
13.844,694,
13.851,691,
13.858,685,
13.865,688,
13.872,672,
13.879,679,
13.887,675,
13.894,690,
13.901,688,
13.908,683,
13.915,681,
13.922,675,
13.929,701,
13.937,691,
13.944,691,
13.951,707,
13.958,696,
13.965,700,
13.972,694,
13.979,697,
13.987,702,
13.994,721,
14.001,704,
14.008,733,
14.015,713,
14.022,719,
14.029,737,
14.037,749,
14.044,728,
14.051,743,
14.058,751,
14.065,762,
14.072,758,
14.079,768,
14.087,749,
14.094,767,
14.101,757,
14.108,768,
14.115,781,
14.122,778,
14.129,804,
14.137,807,
14.144,821,
14.151,843,
14.158,834,
14.165,819,
14.172,837,
14.179,816,
14.187,814,
14.194,817,
14.201,769,
14.208,799,
14.215,784,
14.222,767,
14.229,802,
14.237,782,
14.244,779,
